Date,CPI
2000-01,-0.2000
2000-02,0.7000
2000-03,-0.2000
2000-04,-0.3000
2000-05,0.1000
2000-06,0.5000
2000-07,0.5000
2000-08,0.3000
2000-09,0.0000
2000-10,0.0000
2000-11,1.3000
2000-12,1.5000
2001-01,1.2000
2001-02,0.0000
2001-03,0.8000
2001-04,1.6000
2001-05,1.7000
2001-06,1.4000
2001-07,1.5000
2001-08,1.0000
2001-09,-0.1000
2001-10,0.2000
2001-11,-0.3000
2001-12,-0.3000
2002-01,-1.0000
2002-02,0.0000
2002-03,-0.8000
2002-04,-1.3000
2002-05,-1.1000
2002-06,-0.8000
2002-07,-0.9000
2002-08,-0.7000
2002-09,-0.7000
2002-10,-0.8000
2002-11,-0.7000
2002-12,-0.4000
2003-01,0.4000
2003-02,0.2000
2003-03,0.9000
2003-04,1.0000
2003-05,0.7000
2003-06,0.3000
2003-07,0.5000
2003-08,0.9000
2003-09,1.1000
2003-10,1.8000
2003-11,3.0000
2003-12,3.2000
2004-01,3.2000
2004-02,2.1000
2004-03,3.0000
2004-04,3.8000
2004-05,4.4000
2004-06,5.0000
2004-07,5.3000
2004-08,5.3000
2004-09,5.2000
2004-10,4.3000
2004-11,2.8000
2004-12,2.4000
2005-01,1.9000
2005-02,3.9000
2005-03,2.7000
2005-04,1.8000
2005-05,1.8000
2005-06,1.6000
2005-07,1.8000
2005-08,1.3000
2005-09,0.9000
2005-10,1.2000
2005-11,1.3000
2005-12,1.6000
2006-01,1.9000
2006-02,0.9000
2006-03,0.8000
2006-04,1.2000
2006-05,1.4000
2006-06,1.5000
2006-07,1.0000
2006-08,1.3000
2006-09,1.5000
2006-10,1.4000
2006-11,1.9000
2006-12,2.8000
2007-01,2.2000
2007-02,2.7000
2007-03,3.3000
2007-04,3.0000
2007-05,3.4000
2007-06,4.4000
2007-07,5.6000
2007-08,6.5000
2007-09,6.2000
2007-10,6.5000
2007-11,6.9000
2007-12,6.5000
2008-01,7.1000
2008-02,8.7000
2008-03,8.3000
2008-04,8.5000
2008-05,7.7000
2008-06,7.1000
2008-07,6.3000
2008-08,4.9000
2008-09,4.6000
2008-10,4.0000
2008-11,2.4000
2008-12,1.2000
2009-01,1.0000
2009-02,-1.6000
2009-03,-1.2000
2009-04,-1.5000
2009-05,-1.4000
2009-06,-1.7000
2009-07,-1.8000
2009-08,-1.2000
2009-09,-0.8000
2009-10,-0.5000
2009-11,0.6000
2009-12,1.9000
2010-01,1.5000
2010-02,2.7000
2010-03,2.4000
2010-04,2.8000
2010-05,3.1000
2010-06,2.9000
2010-07,3.3000
2010-08,3.5000
2010-09,3.6000
2010-10,4.4000
2010-11,5.1000
2010-12,4.6000
2011-01,4.9000
2011-02,4.9440
2011-03,5.3830
2011-04,5.3440
2011-05,5.5150
2011-06,6.3550
2011-07,6.4510
2011-08,6.1510
2011-09,6.0670
2011-10,5.4950
2011-11,4.2250
2011-12,4.0700
2012-01,4.5000
2012-02,3.2000
2012-03,3.6000
2012-04,3.4000
2012-05,3.0000
2012-06,2.2000
2012-07,1.8000
2012-08,2.0000
2012-09,1.9000
2012-10,1.7000
2012-11,2.0000
2012-12,2.5000
2013-01,2.0305
2013-02,3.2198
2013-03,2.0696
2013-04,2.3861
2013-05,2.0981
2013-06,2.6684
2013-07,2.6741
2013-08,2.5666
2013-09,3.0519
2013-10,3.2058
2013-11,3.0180
2013-12,2.4987
2014-01,2.4861
2014-02,1.9511
2014-03,2.3848
2014-04,1.8014
2014-05,2.4773
2014-06,2.3361
2014-07,2.2852
2014-08,1.9909
2014-09,1.6275
2014-10,1.6011
2014-11,1.4393
2014-12,1.5056
2015-01,0.7638
2015-02,1.4311
2015-03,1.3758
2015-04,1.5091
2015-05,1.2308
2015-06,1.3909
2015-07,1.6473
2015-08,1.9554
2015-09,1.5956
2015-10,1.2674
2015-11,1.4856
2015-12,1.6000
2016-01,1.8000
2016-02,2.3000
2016-03,2.3014
2016-04,2.3279
2016-05,2.0390
2016-06,1.8795
2016-07,1.7651
2016-08,1.3398
2016-09,1.9202
2016-10,2.0959
2016-11,2.2523
2016-12,2.0765
2017-01,2.5491
2017-02,0.8000
2017-03,0.9000
2017-04,1.2000
2017-05,1.5000
2017-06,1.5000
2017-07,1.4000
2017-08,1.8000
2017-09,1.6000
2017-10,1.9000
2017-11,1.7000
2017-12,1.8000
2018-01,1.5000
2018-02,2.9000
2018-03,2.1000
2018-04,1.8000
2018-05,1.8000
2018-06,1.9000
2018-07,2.1000
2018-08,2.3000
2018-09,2.5000
2018-10,2.5000
2018-11,2.2000
2018-12,1.9000
2019-01,1.7000
2019-02,1.5000
2019-03,2.3000
2019-04,2.5000
2019-05,2.7000
2019-06,2.7000
2019-07,2.8000
2019-08,2.8000
2019-09,3.0000
2019-10,3.8000
2019-11,4.5000
2019-12,4.5000
2020-01,5.4000
2020-02,5.2000
2020-03,4.3000
2020-04,3.3000
2020-05,2.4000
2020-06,2.5000
2020-07,2.7000
2020-08,2.4000
2020-09,1.7000
2020-10,0.5000
2020-11,-0.5000
2020-12,0.2000
2021-01,-0.3000
2021-02,-0.2000
2021-03,0.4000
2021-04,0.9000
2021-05,1.3000
2021-06,1.1000
2021-07,1.0000
2021-08,0.8000
2021-09,0.7000
2021-10,1.5000
2021-11,2.3000
2021-12,1.5000
2022-01,0.9000
2022-02,0.9000
2022-03,1.5000
2022-04,2.1000
2022-05,2.1000
2022-06,2.5000
2022-07,2.7000
2022-08,2.5000
2022-09,2.8000
2022-10,2.1000
2022-11,1.6000
2022-12,1.8000
2023-01,2.1000
2023-02,1.0000
2023-03,0.7000
2023-04,0.1000
2023-05,0.2000
2023-06,0.0000
2023-07,-0.3000
2023-08,0.1000
2023-09,0.0000
2023-10,-0.2000
2023-11,-0.5000
2023-12,-0.3000
2024-01,-0.8000
2024-02,0.7000
2024-03,0.1000
2024-04,0.300
2024-05,0.3000
