date,SHIBOR,zc,cisis
2022/1/4,1.925,,0.92
2022/1/5,1.777,,
2022/1/6,1.714,,
2022/1/7,1.839,,
2022/1/10,1.878,,
2022/1/11,1.984,,
2022/1/12,1.972,,
2022/1/13,2.218,,
2022/1/14,2.209,,
2022/1/17,2.113,,
2022/1/18,1.921,,
2022/1/19,2.035,,
2022/1/20,2.035,,
2022/1/21,2.063,,
2022/1/24,1.935,,
2022/1/25,1.931,,
2022/1/26,1.74,,
2022/1/27,1.614,,
2022/1/28,1.2,,
2022/1/29,1.255,,
2022/1/30,2.155,,
2022/1/31,,582.58,1.05
2022/2/7,2.112,,
2022/2/8,2.044,,
2022/2/9,1.728,,
2022/2/10,1.673,,
2022/2/11,1.812,,
2022/2/14,1.866,,
2022/2/15,1.807,,
2022/2/16,1.942,,
2022/2/17,1.855,,
2022/2/18,2.11,,
2022/2/21,2.195,,
2022/2/22,2.039,,
2022/2/23,2.043,,
2022/2/24,2.197,,
2022/2/25,2.231,,
2022/2/28,2.234,406.18,0.73
2022/3/1,1.801,,
2022/3/2,1.887,,
2022/3/3,1.729,,
2022/3/4,1.902,,
2022/3/7,2.039,,
2022/3/8,2.056,,
2022/3/9,2.024,,
2022/3/10,2.025,,
2022/3/11,2.051,,
2022/3/14,2.063,,
2022/3/15,2.063,,
2022/3/16,2.04,,
2022/3/17,2.009,,
2022/3/18,1.992,,
2022/3/21,2.015,,
2022/3/22,1.946,,
2022/3/23,2.003,,
2022/3/24,2.005,,
2022/3/25,2.001,,
2022/3/28,1.946,,
2022/3/29,1.727,,
2022/3/30,1.557,,
2022/3/31,2.011,863.94,0.68
2022/4/1,1.604,,
2022/4/2,1.308,,
2022/4/6,1.848,,
2022/4/7,1.825,,
2022/4/8,1.751,,
2022/4/11,1.856,,
2022/4/12,1.772,,
2022/4/13,1.665,,
2022/4/14,1.552,,
2022/4/15,1.339,,
2022/4/18,1.403,,
2022/4/19,1.294,,
2022/4/20,1.303,,
2022/4/21,1.294,,
2022/4/22,1.255,,
2022/4/24,1.302,,
2022/4/25,1.303,,
2022/4/26,1.306,,
2022/4/27,1.303,,
2022/4/28,1.301,,
2022/4/29,1.838,,
2022/4/30,,843.92,0.53
2022/5/5,1.783,,
2022/5/6,1.351,,
2022/5/7,1.294,,
2022/5/9,1.309,,
2022/5/10,1.305,,
2022/5/11,1.325,,
2022/5/12,1.309,,
2022/5/13,1.31,,
2022/5/16,1.311,,
2022/5/17,1.325,,
2022/5/18,1.326,,
2022/5/19,1.414,,
2022/5/20,1.322,,
2022/5/23,1.323,,
2022/5/24,1.325,,
2022/5/25,1.347,,
2022/5/26,1.364,,
2022/5/27,1.381,,
2022/5/30,1.405,,
2022/5/31,1.588,735.83,-0.06
2022/6/1,1.413,,
2022/6/2,1.432,,
2022/6/6,1.454,,
2022/6/7,1.421,,
2022/6/8,1.419,,
2022/6/9,1.414,,
2022/6/10,1.403,,
2022/6/13,1.408,,
2022/6/14,1.413,,
2022/6/15,1.413,,
2022/6/16,1.413,,
2022/6/17,1.414,,
2022/6/20,1.418,,
2022/6/21,1.438,,
2022/6/22,1.444,,
2022/6/23,1.437,,
2022/6/24,1.435,,
2022/6/27,1.438,,
2022/6/28,1.438,,
2022/6/29,1.372,,
2022/6/30,1.901,763.4,0.52
2022/7/1,1.441,,
2022/7/4,1.418,,
2022/7/5,1.367,,
2022/7/6,1.21,,
2022/7/7,1.222,,
2022/7/8,1.216,,
2022/7/11,1.223,,
2022/7/12,1.211,,
2022/7/13,1.219,,
2022/7/14,1.195,,
2022/7/15,1.211,,
2022/7/18,1.218,,
2022/7/19,1.242,,
2022/7/20,1.27,,
2022/7/21,1.254,,
2022/7/22,1.194,,
2022/7/25,1.074,,
2022/7/26,1.018,,
2022/7/27,1.008,,
2022/7/28,1.014,,
2022/7/29,1.254,,
2022/7/31,,778.84,0.45
2022/8/1,1.177,,
2022/8/2,1.076,,
2022/8/3,1.026,,
2022/8/4,1.025,,
2022/8/5,1.019,,
2022/8/8,1.013,,
2022/8/9,1.018,,
2022/8/10,1.068,,
2022/8/11,1.03,,
2022/8/12,1.044,,
2022/8/15,1.043,,
2022/8/16,1.075,,
2022/8/17,1.138,,
2022/8/18,1.187,,
2022/8/19,1.211,,
2022/8/22,1.1433,,
2022/8/23,1.109,,
2022/8/24,1.122,,
2022/8/25,1.153,,
2022/8/26,1.258,,
2022/8/29,1.235,,
2022/8/30,1.124,,
