指标名称,中国:M2,金融机构各项贷款余额同比,上证综合指数:月,实际有效汇率指数:人民币,国房景气指数,规模以上工业增加值当月同比,固定资产投资完成额累计同比,进出口金额:当月同比,社会消费品零售总额:当月同比,公共财政收入:当月同比
1/1/00,121220.4,12.8,,,102.24,,,,,
2/1/00,121583.4,12.7,1535,73.66,102.57,8.9,,50.7,11.3,24
3/1/00,122606.82,13.4,1714.58,75.62,101.82,12,8.6,43.2,10.5,27.3
4/1/00,124121.87,13.8,1800.23,74.21,101.85,11.9,8.5,30,9.3,21.4
5/1/00,124053.25,13.9,1836.32,73.93,102.2,11.4,9.3,35.9,9.1,20.3
6/1/00,126605.33,13.8,1894.55,74.7,102.69,11.5,9.5,27.1,11.5,11.9
7/1/00,126323.92,14.1,1928.11,73.01,102.94,12.2,12.1,42.5,8.9,8
8/1/00,127790.3,14,2023.54,73.07,103.32,12.8,12.6,31.2,9.1,15.3
9/1/00,130473.84,14.1,2021.2,73.82,103.52,12.8,12.7,38.9,9.3,39.3
10/1/00,129522.44,14.5,1910.16,75.46,103.43,12,12.9,29.1,9.6,30.2
11/1/00,130994.07,14.7,1961.29,76.01,103.68,11.4,12.6,30.3,10.4,27.8
12/1/00,134610.26,13.4,2070.61,76.8,104,10.6,11.7,20.4,8.7,17.5
1/1/01,137543.63,14.3,2073.48,76.64,105.22,10.4,9.7,15.2,8.8,-8.4
2/1/01,136210.17,14.5,2065.61,77.65,105.02,2.3,,0.9,12.5,25.7
3/1/01,138744.46,13.9,1959.18,77.82,106.15,19,16.7,31.9,8.6,41.4
4/1/01,139949.85,13.7,2112.78,78.63,106.88,12.1,15.1,15.3,9.5,20.9
5/1/01,139015.84,14.1,2119.18,79.59,106.51,11.5,16.5,14.9,9.7,31
6/1/01,147809.67,13.7,2214.26,78.65,106.01,10.2,17.6,6.9,11.1,29.4
7/1/01,149228.73,13.2,2218.03,78.42,106.44,10.1,17.9,2,10,14.9
8/1/01,149941.76,12.6,1920.32,78.61,106.36,8.1,18.4,6.8,9.8,21.6
9/1/01,151642.64,12.3,1834.14,76.97,105.85,8.1,18.9,3.6,9.6,19.6
10/1/01,151497.25,11.4,1764.87,76.99,105.63,9.5,18.2,4.9,9.9,20
11/1/01,154088.33,10.9,1689.17,77.62,105.1,8.8,17.4,-0.1,10.5,20.5
12/1/01,158301.92,11.6,1747.99,78.22,105.27,7.9,16.3,2.4,10.1,16.9
1/1/02,159639.27,10.9,1645.97,78.85,103.91,8.7,13.7,8.1,9.6,15.9
2/1/02,160935.59,10.6,1491.67,80.18,103.53,18.6,,25.7,7.9,12.7
3/1/02,164064.57,11.9,1524.7,81.38,103.87,2.7,24.5,-5.8,9.1,-6.4
4/1/02,164570.56,11.6,1603.91,79.54,104.6,10.9,26.1,5.8,8.3,1.7
5/1/02,166023,11.4,1667.75,78.64,104.37,12.1,27.1,17.5,8.2,15
6/1/02,169601.24,12.2,1515.73,76.57,104.65,12.9,25.8,18.8,9.3,19.5
7/1/02,170851.14,12.2,1732.76,74.73,104.29,12.4,24.4,13.3,8.6,9.1
8/1/02,173250.92,13.3,1651.59,72.9,104.46,12.8,24.1,28.4,8.6,17.9
9/1/02,176985.21,14.2,1666.62,73.44,104.97,12.7,24.2,24,8.8,7.6
10/1/02,177294.15,15.4,1581.62,74.21,105.15,13.8,24.3,34.7,9.1,16.6
11/1/02,179736.26,15.7,1507.5,74.71,104.9,14.2,24.1,32.3,9.4,21.3
12/1/02,185006.97,15.8,1434.18,73.83,104.18,14.5,23.4,33.7,9.1,15.6
1/1/03,190545.05,18.88,1357.65,73.68,108.89,14.9,17.4,29.28,9.2,40.6
2/1/03,190108.41,19.35,1499.82,73.16,109.14,14.8,,49.5,10,32
3/1/03,194487.3,19.9,1511.93,73.58,107.34,19.8,32.8,37.6,8.5,53.7
4/1/03,196130.13,20.65,1510.58,72.82,106.89,16.9,31.6,39.7,9.3,29.6
5/1/03,199505.19,21.66,1521.44,72.63,106.28,14.9,30.5,33.8,7.7,15.5
6/1/03,204907.42,23.1,1576.26,70.13,107.04,13.7,31.7,39,4.3,20.7
7/1/03,206193.07,23.38,1486.02,69.34,107.27,16.9,32.8,36.1,8.3,24.5
8/1/03,210591.9,23.9,1476.74,69.63,106.89,16.5,32.7,32.8,9.8,14.7
9/1/03,213567.13,23.5,1421.98,70.25,106.65,17.1,32.4,27.2,9.9,6.5
10/1/03,214469.36,23.28,1367.16,69.88,106.67,16.3,31.4,35.5,9.5,17.7
11/1/03,216351.73,22.6,1348.3,68.7,106.42,17.2,30.2,38.1,10.2,10.7
12/1/03,221222.82,21.1,1397.23,69.73,106.23,17.9,29.6,31.3,9.7,8.6
