0,1,2,3,4,5,6,7,8,9
603501,601211,688036,601901,002841,000725,603019,600989,002230,600837
603501,601211,688036,601901,002841,000725,603019,600989,002230,600837
603501,601211,688036,601901,002841,000725,603019,600989,002230,600837
603501,601211,688036,601901,002841,000725,603019,600989,002230,600837
603501,601211,688036,601901,002841,000725,603019,600989,002230,600837
002555,300418,603019,002230,603993,688256,688126,688981,300433,688036
002555,300418,603019,002230,603993,688256,688126,688981,300433,688036
002555,300418,603019,002230,603993,688256,688126,688981,300433,688036
002555,300418,603019,002230,603993,688256,688126,688981,300433,688036
002555,300418,603019,002230,603993,688256,688126,688981,300433,688036
600426,601360,300418,300442,600039,688256,600989,300308,000338,605499
600426,601360,300418,300442,600039,688256,600989,300308,000338,605499
600426,601360,300418,300442,600039,688256,600989,300308,000338,605499
600426,601360,300418,300442,600039,688256,600989,300308,000338,605499
600426,601360,300418,300442,600039,688256,600989,300308,000338,605499
600132,000977,002841,600989,601360,603019,688256,000063,300628,300418
600132,000977,002841,600989,601360,603019,688256,000063,300628,300418
600132,000977,002841,600989,601360,603019,688256,000063,300628,300418
600132,000977,002841,600989,601360,603019,688256,000063,300628,300418
600132,000977,002841,600989,601360,603019,688256,000063,300628,300418
000983,600028,002841,000063,600741,603993,600438,601607,600061,000708
000983,600028,002841,000063,600741,603993,600438,601607,600061,000708
000983,600028,002841,000063,600741,603993,600438,601607,600061,000708
000983,600028,002841,000063,600741,603993,600438,601607,600061,000708
000983,600028,002841,000063,600741,603993,600438,601607,600061,000708
600050,601229,601698,601186,601006,601985,601800,601390,601111,601766
600050,601229,601698,601186,601006,601985,601800,601390,601111,601766
600050,601229,601698,601186,601006,601985,601800,601390,601111,601766
600050,601229,601698,601186,601006,601985,601800,601390,601111,601766
600050,601229,601698,601186,601006,601985,601800,601390,601111,601766
600028,601985,600845,601698,003816,600489,601800,601138,601390,000617
600028,601985,600845,601698,003816,600489,601800,601138,601390,000617
600028,601985,600845,601698,003816,600489,601800,601138,601390,000617
600028,601985,600845,601698,003816,600489,601800,601138,601390,000617
600028,601985,600845,601698,003816,600489,601800,601138,601390,000617
003816,601390,688036,601186,688981,000617,600489,000999,002236,601698
003816,601390,688036,601186,688981,000617,600489,000999,002236,601698
003816,601390,688036,601186,688981,000617,600489,000999,002236,601698
003816,601390,688036,601186,688981,000617,600489,000999,002236,601698
003816,601390,688036,601186,688981,000617,600489,000999,002236,601698
688036,603019,601360,300033,002555,002230,002916,300308,002841,688256
688036,603019,601360,300033,002555,002230,002916,300308,002841,688256
688036,603019,601360,300033,002555,002230,002916,300308,002841,688256
688036,603019,601360,300033,002555,002230,002916,300308,002841,688256
688036,603019,601360,300033,002555,002230,002916,300308,002841,688256
600085,300418,000338,688256,002493,603369,601360,300308,000568,002049
600085,300418,000338,688256,002493,603369,601360,300308,000568,002049
600085,300418,000338,688256,002493,603369,601360,300308,000568,002049
600085,300418,000338,688256,002493,603369,601360,300308,000568,002049
600085,300418,000338,688256,002493,603369,601360,300308,000568,002049
601211,688036,601766,603501,688981,601688,600674,600030,600584,688256
601211,688036,601766,603501,688981,601688,600674,600030,600584,688256
601211,688036,601766,603501,688981,601688,600674,600030,600584,688256
601211,688036,601766,603501,688981,601688,600674,600030,600584,688256
601211,688036,601766,603501,688981,601688,600674,600030,600584,688256
601857,600023,003816,600028,688981,601211,601288,601169,601229,600415
601857,600023,003816,600028,688981,601211,601288,601169,601229,600415
601857,600023,003816,600028,688981,601211,601288,601169,601229,600415
601857,600023,003816,600028,688981,601211,601288,601169,601229,600415
601857,600023,003816,600028,688981,601211,601288,601169,601229,600415
600039,601319,601989,601658,688009,601288,603019,600015,601601,601186
600039,601319,601989,601658,688009,601288,603019,600015,601601,601186
600039,601319,601989,601658,688009,601288,603019,600015,601601,601186
600039,601319,601989,601658,688009,601288,603019,600015,601601,601186
