0,1,2,3,4,5,6,7,8,9
531.98,1236.59,734.38,897.49,1364.16,674.55,2229.43,711.44,347.12,549.87
531.33,1217.74,721.31,900.62,1343.76,676.36,2208.06,693.31,340.03,550.8
522.0,1212.08,718.52,901.93,1329.63,678.73,2120.45,704.76,337.53,557.29
526.63,1197.0,707.95,899.58,1332.77,683.87,2151.08,691.88,337.15,552.65
539.73,1215.85,712.96,900.62,1339.05,683.45,2168.89,701.9,336.57,551.73
531.33,1204.54,715.74,907.15,1345.33,694.16,2158.92,695.7,336.0,554.82
531.56,1206.43,728.82,909.76,1317.07,691.94,2178.15,714.31,339.07,556.67
522.62,1251.67,723.53,885.23,1304.51,682.9,2194.02,716.69,341.94,560.69
522.62,1247.3,746.9,891.75,1299.8,702.23,2231.81,712.88,340.6,558.53
516.63,1237.86,739.94,894.62,1337.48,715.58,2217.55,711.44,335.61,560.07
518.49,1243.52,737.72,892.01,1389.28,734.91,2191.17,722.42,334.27,558.84
520.15,1247.3,732.15,881.83,1393.99,726.71,2171.92,720.99,333.12,556.36
504.85,1268.06,731.6,873.74,1370.44,710.71,2283.15,743.89,330.05,553.58
503.39,1271.83,719.64,869.57,1375.15,716.83,2176.91,754.87,330.82,552.96
507.38,1279.38,722.7,871.65,1425.39,724.21,2179.76,755.34,783.54,552.04
508.98,1298.25,737.44,893.05,1441.08,736.86,2117.01,770.61,781.74,558.22
503.62,1281.26,733.82,894.88,1389.28,740.34,2105.6,762.98,787.57,557.6
502.97,1285.04,719.36,886.79,1417.54,730.46,2058.54,765.36,725.23,549.56
487.08,1285.04,709.07,882.88,1393.99,720.03,2040.72,771.57,717.16,546.16
477.12,1268.06,710.46,878.18,1370.44,710.85,1976.54,758.68,714.92,530.71
3056.0,1250.62,1275.6,517.68,624.04,527.31,1147.74,873.74,559.61,1083.47
3070.82,1255.15,1281.26,506.33,627.61,520.2,1140.88,863.3,560.48,1065.67
3057.48,1233.37,1271.83,517.68,626.27,530.71,1141.64,875.31,558.75,1044.0
3116.76,1246.99,1277.49,525.87,639.65,530.71,1140.11,888.36,576.02,1070.32
3115.28,1275.12,1302.02,516.42,641.44,527.62,1169.07,886.01,580.34,1057.16
3152.33,1301.44,1351.08,528.08,656.16,525.76,1175.17,879.74,582.07,1034.72
3250.15,1321.41,1337.87,523.35,663.74,512.78,1210.23,866.96,583.79,1081.93
3362.78,1348.63,1364.29,542.27,660.62,514.95,1239.95,872.18,595.88,1096.63
3370.19,1371.32,1337.87,536.28,659.72,513.4,1254.43,865.39,594.16,1112.11
3244.22,1314.15,1343.54,554.56,654.82,515.87,1223.95,881.05,569.98,1081.15
3230.88,1322.31,1351.08,557.09,666.41,512.47,1215.56,892.27,575.16,1065.67
3186.42,1309.61,1351.08,557.4,662.4,508.45,1199.56,883.66,567.38,1050.2
3233.84,1324.13,1324.67,557.4,659.72,511.85,1211.75,903.23,579.47,1047.1
3230.88,1315.96,1322.78,553.62,662.85,512.78,1198.03,901.41,569.98,1035.49
3210.13,1307.79,1339.76,551.41,671.32,513.09,1193.46,902.45,562.2,1033.17
3211.61,1307.79,1334.1,557.4,684.26,510.0,1188.13,864.61,557.88,1015.37
3155.29,1279.66,1307.68,555.51,669.98,508.76,1171.36,868.0,544.93,996.02
3156.78,1265.14,1322.78,558.35,680.24,514.64,1165.26,871.65,544.93,995.25
3090.08,1240.63,1296.36,558.98,665.52,515.87,1152.31,870.35,537.16,996.02
3005.61,1217.04,1279.38,555.19,662.4,510.31,1136.3,864.87,531.11,953.46
862.0,572.85,687.11,554.88,1550.31,5554.29,586.32,501.04,914.16,805.95
866.17,557.9,682.81,561.5,1565.46,5520.03,586.32,503.51,912.47,804.25
858.61,561.49,687.59,552.67,1595.76,5600.78,583.21,498.87,914.38,795.5
856.26,579.14,687.11,551.41,1590.71,5566.52,587.17,477.85,905.05,792.27
846.6,559.39,673.75,550.47,1570.51,5507.8,592.98,466.73,901.23,782.92
842.43,570.16,673.75,542.58,1570.51,5475.99,592.84,468.89,892.33,790.23
867.22,591.1,687.59,554.25,1555.36,5463.75,592.84,475.69,889.57,812.49
867.22,586.32,687.59,558.03,1540.21,5493.11,629.66,481.87,876.64,775.96
856.26,589.01,679.47,552.36,1514.96,5461.31,626.12,479.4,870.07,750.72
858.34,583.03,667.55,547.63,1520.01,5466.2,626.68,476.31,851.83,739.08
856.78,500.46,681.86,552.99,1545.26,5544.5,612.95,479.4,864.98,729.4
860.95,501.66,666.59,558.35,1570.51,5593.43,612.95,480.64,899.96,739.68
875.57,499.57,666.59,578.52,1550.31,5475.99,619.6,488.05,888.3,728.55
876.87,494.48,658.48,579.16,1550.31,5456.41,613.23,497.64,873.46,746.39
876.09,499.27,662.77,574.43,1535.16,5444.18,631.08,470.75,873.46,734.92
896.71,501.36,657.53,575.69,1525.06,5451.52,613.66,478.78,888.51,760.66
894.62,503.45,667.55,572.22,1530.11,5431.94,613.66,480.33,894.66,765.08
898.01,495.98,656.57,578.21,1535.16,5427.05,611.39,478.16,884.7,760.24
900.1,487.3,651.8,575.37,1525.06,5405.03,610.11,474.45,917.98,796.6
897.23,481.32,647.51,577.26,1525.06,5407.48,597.37,468.27,906.53,763.64
4195.84,5898.96,15350.67,1404.07,1175.85,4839.06,1687.9,466.36,1038.77,11127.86
4277.53,5956.58,15600.68,1428.87,1203.79,4918.39,1716.02,474.14,1067.75,11363.37
4270.11,6034.07,15500.68,1471.04,1210.78,4898.56,1754.8,483.71,1081.13,11392.81
4255.25,5990.36,15500.68,1451.69,1210.78,4839.06,1735.41,475.04,1052.15,11363.37
