指标名称,1年国债,10年国债,
2002/1/4,2.585,3.2096,0
2002/1/7,2.6009,3.2003,
2002/1/8,1.9156,3.5225,
2002/1/9,1.904,3.5896,
2002/1/10,1.8987,3.5784,
2002/1/11,1.8757,3.4532,
2002/1/14,1.6794,3.5114,
2002/1/15,1.7265,3.5023,
2002/1/16,1.7403,3.4414,
2002/1/17,1.7165,3.4511,
2002/1/18,2.313,3.2968,
2002/1/21,2.3057,3.2563,
2002/1/22,2.3195,3.3182,
2002/1/23,2.4151,3.1897,
2002/1/24,2.282,3.2581,
2002/1/25,2.4084,3.0795,
2002/1/28,2.3583,3.1584,
2002/1/29,1.8731,3.81,
2002/1/30,2.3022,3.2152,
2002/1/31,2.3164,3.2186,
2002/2/1,2.2378,3.2016,
2002/2/4,2.2322,3.218,
2002/2/5,2.1994,3.1893,
2002/2/6,2.2673,3.1897,
2002/2/7,2.1876,3.2491,
2002/2/8,2.1877,3.2085,
2002/2/9,2.2009,3.1948,
2002/2/10,2.2233,3.2084,
2002/2/11,2.2539,3.2173,
2002/2/19,2.2399,3.1679,
2002/2/20,2.1405,3.1647,
2002/2/21,2.2222,3.1583,
2002/2/22,2.2165,3.2237,
2002/2/25,2.0962,3.1616,
2002/2/26,2.0677,3.1512,
2002/2/27,2.0638,3.1481,
2002/2/28,2.056,3.1315,
2002/3/1,2.0791,3.1155,
2002/3/4,2.1438,3.0828,
2002/3/5,2.0757,3.085,
2002/3/6,1.9399,3.0864,
2002/3/7,1.9249,3.084,
2002/3/8,1.8961,3.0656,
2002/3/11,1.9272,3.073,
2002/3/12,1.9121,3.0044,
2002/3/13,1.9312,2.9872,
2002/3/14,1.9146,2.9798,
2002/3/15,1.95,3.0188,
2002/3/18,2.0959,3.0232,
2002/3/19,2.1169,2.9442,
2002/3/20,2.1299,3.0009,
2002/3/21,1.9244,2.9508,
2002/3/22,1.9113,2.9468,
2002/3/25,1.8447,2.9166,
2002/3/26,1.8839,2.9052,
2002/3/27,1.7698,3.0714,
2002/3/28,1.861,3.0536,
2002/3/29,1.875,2.8551,
2002/4/1,1.908,2.7433,
2002/4/2,1.9516,2.7048,
2002/4/3,1.9254,2.9179,
2002/4/4,1.8484,2.7323,
2002/4/5,1.7734,3.2699,
2002/4/8,1.8599,2.7346,
2002/4/9,1.8409,2.7982,
2002/4/10,1.8942,2.7158,
2002/4/11,1.8843,2.6737,
2002/4/12,1.9654,2.6736,
2002/4/15,1.9224,2.6374,
2002/4/16,1.9474,2.5653,
2002/4/17,1.8927,2.6181,
2002/4/18,1.9182,2.5275,
2002/4/19,2.007,2.58,
2002/4/22,1.8999,2.5865,
2002/4/23,1.9133,2.5637,
2002/4/24,1.8967,2.605,
2002/4/25,1.851,2.5478,
2002/4/26,4.5045,1.9775,
2002/4/27,1.8908,2.6304,
2002/4/28,1.2306,3.5186,
2002/4/29,1.8497,2.5363,
2002/4/30,1.9305,2.5022,
2002/5/8,1.8998,2.5363,
2002/5/9,1.86,2.5192,
2002/5/10,1.9658,2.4972,
2002/5/13,1.8602,2.5072,
2002/5/14,1.8893,2.5447,
2002/5/15,1.8644,2.5035,
2002/5/16,1.8791,2.4959,
2002/5/17,1.9003,2.5423,
2002/5/20,1.8436,2.4837,
2002/5/21,1.8761,2.4961,
2002/5/22,1.8961,2.5476,
2002/5/23,1.9587,2.5547,
2002/5/24,1.9377,2.4983,
2002/5/27,1.8459,2.4462,
2002/5/28,1.8436,2.4178,
2002/5/29,1.8478,2.4199,
2002/5/30,1.8465,2.3924,
2002/5/31,1.8519,2.381,
2002/6/3,1.8676,2.3353,
2002/6/4,1.627,2.7385,
2002/6/5,1.6091,2.8028,
2002/6/6,1.8219,2.4016,
2002/6/7,1.7202,2.6786,
2002/6/10,1.863,2.4376,
2002/6/11,1.8562,2.4831,
2002/6/12,1.8689,2.4339,
2002/6/13,1.8577,2.4341,
2002/6/14,1.8205,2.4564,
2002/6/17,1.8285,2.4467,
2002/6/18,1.888,2.3741,
2002/6/19,1.8136,2.4818,
2002/6/20,1.8243,2.4517,
2002/6/21,1.8135,2.4606,
2002/6/24,1.8172,2.4936,
2002/6/25,1.6494,2.7081,
2002/6/26,1.7942,2.6982,
2002/6/27,1.8332,2.5912,
2002/6/28,1.7864,2.5798,
2002/7/1,1.8231,2.5719,
2002/7/2,1.8344,2.5258,
2002/7/3,1.8128,2.6252,
2002/7/4,1.8003,2.5196,
2002/7/5,1.7294,2.6093,
2002/7/8,1.7566,2.5264,
2002/7/9,1.7882,2.5154,
2002/7/10,1.7161,2.5941,
2002/7/11,1.7929,2.5707,
2002/7/12,1.8939,2.5536,
2002/7/15,1.5905,2.8396,
2002/7/16,1.7369,2.7022,
2002/7/17,1.8214,2.7554,
2002/7/18,1.9216,2.7564,
2002/7/19,1.7839,2.9312,
2002/7/22,1.752,2.9691,
2002/7/23,1.6754,2.8758,
2002/7/24,1.7,2.9785,
2002/7/25,1.8352,2.7816,
2002/7/26,1.7389,2.8931,
2002/7/29,1.8351,2.7962,
2002/7/30,1.8563,2.8115,
2002/7/31,1.7808,2.869,
2002/8/1,1.7821,2.9805,
2002/8/2,1.846,3.0287,
2002/8/5,1.8022,3.0054,
2002/8/6,1.7998,2.9415,
2002/8/7,1.8029,2.99,
2002/8/8,1.8702,2.8753,
2002/8/9,1.7204,3.1741,
2002/8/12,1.8142,3.0804,
2002/8/13,1.8662,2.9737,
